Messreihe;U (Durchschnitt);n (Durchschnitt)
1;52,640000000000015;0,0
2;100,45999999999997;0,0
3;150,3;0,0
4;199,71999999999997;0,0
5;249,47999999999993;0,0
6;278,39999999999986;0,0
7;290,94;0,0
8;294,7199999999999;0,0
9;299,3199999999999;0,0
10;303,61999999999995;192,64
11;309,06000000000006;251,56
12;314,1000000000001;259,4
13;321,32;262,64
14;329,24000000000007;262,52
15;341,62;266,48
16;348,93999999999994;263,6
17;362,9;270,0
18;374,34;272,4
19;374,9200000000001;273,52
20;374,63725490196094;274,5098039215686
21;382,03971962616936;275,74766355140184
22;394,99065420560856;270,5607476635514
23;404,75000000000045;278,2
24;417,17500000000035;282,5
25;440,0249999999997;276,1
26;450,4799999999998;268,1
27;450,52999999999963;275,6
28;461,3100000000003;275,1
29;491,1805555555557;282,68518518518516
30;507,46078431372507;277,6470588235294
31;519,06;282,4
