Messreihe;U (Durchschnitt);n (Durchschnitt);n (Standardabweichung)  
1;398,6683168316839;16,69794391146645;5,6742255333182126
2;398,5350000000007;9,978191878611462;3,0262033169326674
3;398,63000000000073;6,732680594363261;2,378606025699296
4;398,37000000000063;4,8229225183157585;2,615824874916225
5;398,3800000000007;4,129028437552158;2,432793804196777
6;398,4400000000008;2,7617222576282385;2,0990815143298502
7;398,23000000000036;2,450926849288966;1,6724172743405932
8;398,41000000000065;2,0319964726658957;1,4625321958561122
9;398,3000000000006;1,0074670018024916;1,1653558878484522
10;"";"";""
11;"";"";""
