Messreihe;U (Durchschnitt);n (Durchschnitt);n (Standardabweichung)  
1;400,3999999999998;0,86;0,857380919321352
2;400,2799999999999;0,68;0,7125693664765669
3;400,3599999999999;1,04;1,1058287131636362
4;400,26999999999987;1,04;1,0093440990088969
5;400,26999999999987;0,92;0,829063893059823
6;400,29999999999995;0,78;1,0358866851590458
7;400,2199999999999;0,88;0,798978940234832
8;400,2299999999999;0,58;0,7024737630368142
9;400,1999999999999;0,74;0,8283250865328127
10;"";"";""
11;"";"";""
12;"";"";""
13;"";"";""
14;"";"";""
15;"";"";""
16;"";"";""
17;"";"";""
18;"";"";""
19;"";"";""
20;"";"";""
21;"";"";""
22;"";"";""
