Messreihe;U (Durchschnitt);n (Durchschnitt);n (Standardabweichung)  
1;399,78000000000014;191,88;14,006762215269523
2;399,97;186,5;13,31448497704968
3;400,04999999999995;159,28;11,11542410622395
4;400,05000000000007;136,74;10,572992162359059
5;400,1;115,42;9,848008189787542
6;400,04999999999995;101,98;9,37319234273348
7;400,04999999999995;89,54;8,91504117677947
8;400,2199999999999;84,06;8,924650567675016
9;400,3199999999999;71,02;8,247423840206105
10;400,17647058823513;62,588235294117645;7,255829299503222
11;400,2299999999999;56,14;7,777544862077792
12;400,2899999999999;50,14;6,940005293181538
13;400,3199999999999;47,22;6,128854472318389
14;400,11999999999983;41,94;7,465321185867572
15;400,28999999999985;37,2;5,462301226944332
16;400,3199999999999;33,5;6,105367327530885
17;400,3199999999999;15,82;4,207330822868726
18;400,3725490196077;4,137254901960785;2,2717359691930508
19;400,38999999999976;0,94;0,9775020225460574
20;400,32999999999976;0,82;0,8734169352933013
21;400,4199999999998;0,48;0,6773296909216969
22;400,26999999999987;0,48;0,6773296909216968
