MIN=0	-10	0
MAX=200	10	10
SCALE=200	5	5
DEC=0	2	0
DEF="Zeit" t / s	"Spannung" U_B1 / V	"Rate" R_A1 / 1/s
1	3,985	15
2,2	3,985	20
4,6	3,985	22
7,001	3,985	23
8,201	3,99	29
10,6	3,985	11
13,002	3,985	22
14,2	3,985	22
16,6	3,985	16
19	3,985	10
20,2	3,99	17
22,6	3,965	21
25,001	3,99	18
26,2	3,985	13
28,501	3,99	12
30,901	3,985	15
32,101	3,985	26
34,501	3,985	14
36,9	3,985	15
38,1	3,985	18
40,501	3,985	15
42,901	3,985	6
44,1	3,985	12
46,401	3,985	23
48,8	3,99	23
51,101	3,99	15
52,301	3,99	21
54,6	3,99	26
56,9	3,99	21
58,1	3,99	11
60,5	3,99	10
62,8	4	11
64	3,985	13
66,3	3,985	19
68,701	3,985	11
71,1	3,99	14
72,3	3,99	10
74,703	3,99	16
77,101	3,98	19
78,301	3,99	14
80,7	3,985	23
83,1	3,98	17
84,301	3,985	15
86,701	3,985	18
89,1	3,985	16
90,3	3,98	33
92,7	3,985	14
95,1	3,985	16
96,3	3,985	9
98,7	3,985	10
101,1	3,99	9
102,299	3,985	16
104,701	3,985	15
107,101	3,985	14
108,301	3,985	20
110,7	3,985	13
113,101	3,985	13
114,302	3,985	15
116,701	3,985	11
119,1	3,99	13
120,3	3,975	15
122,701	3,985	20
125,1	3,995	15
126,3	3,99	11
128,7	3,99	22
131,1	3,985	18
132,301	3,985	15
134,7	3,985	20
137,1	3,985	17
138,3	3,99	15
140,7	3,985	11
143,101	3,985	16
144,201	3,985	7
146,6	3,985	19
148,901	3,99	16
150,1	3,99	19
152,5	3,99	12
154,801	3,99	14
157,101	3,975	17
158,2	3,99	12
160,601	3,99	25
162,9	3,98	13
164,1	3,985	21
166,501	3,985	19
168,9	3,99	16
170	3,985	21
172,4	3,985	12
174,8	3,985	12
176	3,985	14
178,4	3,99	13
180,8	3,99	13
182,001	3,99	8
184,401	4,05	11
186,801	3,985	13
188	3,985	20
190,4	3,985	18
192,801	3,98	8
194,001	3,985	28
196,4	3,985	12
198,8	3,98	11
200	3,985	21
MIN=0	-10	0
MAX=200	10	10
SCALE=200	5	5
DEC=0	2	0
DEF="Zeit" t / s	"Spannung" U_B1 / V	"Rate" R_A1 / 1/s
1,1	3,99	12
2,3	3,985	9
4,7	3,985	15
7,101	3,98	11
8,301	3,985	9
10,7	3,985	9
13,1	3,985	9
14,3	3,99	11
16,7	3,985	14
19,1	3,99	7
20,201	3,99	11
22,6	3,99	13
24,9	3,99	10
26,1	3,985	5
28,301	3,985	6
30,701	3,985	5
33,101	3,985	11
34,3	3,985	6
36,7	3,985	6
39,101	3,99	5
40,301	3,99	11
42,7	3,99	10
45,1	3,98	9
46,3	3,985	13
48,701	3,98	8
51,1	3,985	4
52,3	3,98	7
54,7	3,99	14
57,101	3,985	9
58,3	3,99	7
60,7	3,985	9
63,1	3,985	13
64,3	3,98	5
66,7	3,985	14
69,101	3,985	8
70,301	3,985	11
72,701	3,985	9
75,1	3,985	14
76,301	3,985	8
78,701	3,99	13
81,1	3,99	9
82,3	3,99	9
84,7	3,985	7
87,101	3,985	5
88,301	3,975	8
90,7	3,985	8
93,1	3,985	9
94,3	3,985	12
96,701	3,98	14
99,1	3,985	10
100,3	3,99	11
102,7	3,985	6
105,101	3,99	14
106,3	3,98	11
108,701	3,99	10
111,101	3,98	9
112,3	3,985	7
114,601	3,985	9
117	3,98	11
118,2	3,98	12
120,501	3,985	8
122,9	3,98	11
124,1	3,985	13
126,501	3,985	13
128,8	3,985	9
130	3,99	9
132,3	3,985	12
134,7	3,985	8
137	3,985	10
138,2	3,99	14
140,6	3,99	14
143	3,985	13
