MIN=0	-10	0
MAX=120	10	1000
SCALE=120	5	5
DEC=1	2	0
DEF="Zeit" t / s	"Spannung" U_B1 / V	"Ereignisse" N_A1
0	4,005	0
0,101	4	17
0,201	4,005	40
0,3	4	59
0,401	3,995	83
0,501	4	105
0,601	4,005	132
0,701	4	151
0,8	4,005	176
0,901	4,005	189
1,001	4,005	209
1,101	4,01	222
1,201	4,005	244
1,3	4	266
1,401	4	286
1,501	3,995	308
1,6	3,995	327
1,701	4,005	345
1,8	4,005	360
1,901	4	380
2,001	4	395
2,1	4,005	407
2,201	4,005	423
2,301	4	435
2,401	4,005	454
2,501	3,995	469
2,6	4,005	488
2,701	4,005	504
2,8	4,005	524
2,901	3,99	544
3,001	4	565
3,101	3,995	582
3,201	4,005	596
3,3	4	609
3,401	4,005	629
3,501	4	649
3,6	4,005	667
3,701	4,005	683
3,8	4,005	701
3,901	4	723
4,001	4	739
4,1	4,005	761
4,2	4	778
4,3	4	795
4,401	3,995	811
4,501	3,995	827
4,6	4	845
4,701	3,995	855
4,8	4	874
4,901	4	895
5,001	3,995	915
5,101	4	936
5,201	4	956
5,3	4	964
5,401	4	983
5,501	4,01	1002
5,6	4	1020
5,701	3,99	1039
5,8	4	1056
5,901	3,99	1077
6,001	4	1100
6,1	3,995	1120
6,201	4,005	1135
6,3	4,005	1154
6,402	3,995	1179
6,501	3,985	1194
6,6	4	1224
6,701	4,005	1247
6,8	3,99	1273
6,901	4,005	1287
7,001	4	1304
7,1	4	1324
7,201	4	1337
7,3	4,005	1349
7,401	4,005	1364
7,501	4	1389
7,6	4,005	1407
7,701	4	1424
7,8	4,005	1440
7,901	4	1455
8,001	4	1470
8,1	3,995	1488
8,201	4,01	1513
8,3	4	1530
8,401	3,99	1549
8,502	4,005	1560
8,6	4	1575
8,701	4	1593
8,8	4	1612
8,901	4	1635
9,001	4	1648
9,1	4,005	1668
9,201	4,005	1684
9,3	4,005	1707
9,401	4,005	1725
9,501	4,005	1744
9,6	4	1761
9,701	4	1779
9,8	4,005	1797
9,901	4	1819
10,001	4,005	1838
10,1	4	1853
10,201	4,005	1870
10,3	4	1886
10,401	3,995	1910
10,501	3,995	1930
10,6	4	1951
10,701	4,005	1962
10,8	4,005	1982
10,9	4,005	1998
11,001	4,005	2015
11,1	4,005	2043
11,201	4	2064
11,3	4,005	2081
11,401	3,995	2092
11,501	4,005	2113
11,6	4	2135
11,702	4,005	2153
11,8	4,01	2180
11,901	4,005	2196
12,001	4,005	2212
12,1	4,01	2237
12,201	4,005	2254
12,3	4	2271
12,401	3,995	2287
12,501	4,005	2309
12,6	4,01	2333
12,701	4	2351
12,8	4,01	2369
12,901	4,005	2388
13,001	4	2411
13,1	4,005	2430
13,201	4	2455
13,3	4,005	2476
13,401	4,01	2499
13,501	4,01	2518
13,6	4,005	2539
13,701	4	2563
13,8	4,005	2581
13,901	4,005	2601
14,001	4,005	2628
14,1	4	2646
14,201	4,005	2668
14,3	4,005	2690
14,4	4	2713
14,501	4,005	2734
14,6	4	2751
14,701	4,01	2768
14,8	3,995	2786
14,9	4,01	2806
15,001	4,005	2824
15,1	4,005	2843
15,201	4,01	2855
15,3	4,005	2876
15,401	4,005	2902
15,501	3,995	2929
15,6	4,005	2942
15,701	4,005	2959
15,8	4,005	2979
15,9	4	3000
16,001	4,005	3022
16,1	4	3045
16,201	4	3066
16,3	4,005	3085
16,4	4,005	3105
16,501	4,005	3129
16,6	4,01	3149
16,701	4,005	3162
16,8	4,015	3175
16,9	4,005	3196
17,001	4	3211
17,1	4,005	3231
17,201	4	3247
17,3	3,995	3267
17,401	4,005	3287
17,501	4,01	3301
17,6	4,005	3321
17,701	4,005	3340
17,8	4	3367
17,9	4,005	3394
18,001	4,015	3411
18,1	4,005	3427
18,201	4,005	3442
18,3	4,005	3459
18,4	4,005	3486
18,501	4,01	3502
18,6	4	3517
18,701	4	3542
18,8	4,005	3560
18,9	3,995	3579
19,001	4,005	3603
19,1	4,005	3628
19,201	4	3643
19,3	4,005	3667
19,4	4	3685
19,5	4,005	3705
19,6	3,995	3727
19,701	4,005	3752
19,8	4	3772
19,9	4,005	3786
20,001	4,01	3803
20,1	4,005	3819
20,201	4,005	3833
20,3	4	3845
20,4	4	3866
20,501	4	3887
20,6	4,005	3902
20,701	4,005	3928
20,8	4	3943
20,9	3,995	3967
21,001	3,995	3989
21,1	4	4011
21,201	4,01	4025
21,3	4	4047
21,4	4	4065
21,501	4,01	4088
21,6	4,005	4107
21,701	4	4129
21,8	4	4144
21,901	4,005	4165
22,001	4,005	4182
22,1	4	4209
22,201	4,01	4231
22,3	3,99	4250
22,4	4	4273
22,501	4,005	4296
22,6	4,005	4310
22,701	4	4331
22,8	4,005	4353
22,9	4	4370
23,001	4,005	4385
23,1	4,005	4405
23,201	4,005	4423
23,3	4,005	4446
23,4	4	4469
23,501	4,005	4489
23,6	4	4503
23,7	3,995	4525
23,8	4	4540
23,9	4,005	4562
24,001	4,005	4579
24,1	3,985	4600
24,201	4	4617
24,3	4,005	4632
24,4	4,005	4641
24,501	4	4654
24,6	4	4675
24,701	4,01	4703
24,8	4,005	4720
24,9	4	4733
25,001	4,005	4751
25,101	4	4765
25,201	4,005	4778
25,3	4,005	4801
25,4	4	4816
25,501	4,005	4836
25,6	4,005	4852
25,701	4	4868
25,8	4	4887
25,9	4	4907
26,001	3,995	4933
26,1	4,015	4956
26,201	4	4972
26,3	4,005	5001
26,4	3,995	5022
26,501	4	5040
26,6	4	5066
26,701	4,005	5083
26,8	4	5102
26,9	4,005	5126
27,001	4	5141
27,1	4	5163
27,201	4,005	5184
27,3	4,005	5202
27,4	3,995	5217
27,501	3,995	5237
27,6	4,005	5252
27,701	3,995	5272
27,8	4,005	5283
27,901	4	5302
28,001	3,995	5323
28,1	4,005	5345
28,201	4	5360
28,3	4,005	5375
28,4	4,005	5403
28,501	3,995	5419
28,6	4,005	5444
28,701	4,005	5465
28,8	4	5479
28,9	4,005	5492
29,001	3,995	5509
29,1	4	5525
29,201	3,995	5547
29,3	4	5561
29,4	4	5582
29,501	4	5603
29,6	4	5621
29,7	4,005	5630
29,8	4,005	5651
29,9	4	5670
30,001	3,995	5683
30,1	3,995	5709
30,201	4	5726
30,3	4,005	5749
30,4	4	5771
30,501	4	5792
30,6	4,01	5810
30,701	4	5830
30,8	4	5848
30,9	4	5869
31,001	4,01	5883
31,1	4,005	5896
31,201	4	5914
31,3	4,005	5932
31,401	4	5950
31,501	4,005	5972
31,6	4	5990
31,701	4,005	6007
31,8	4,005	6026
31,9	4	6042
32,001	4,005	6063
32,1	4,005	6085
32,2	4,01	6101
32,3	4	6114
32,4	4,005	6125
32,501	4,005	6143
32,6	4,01	6159
32,701	4,005	6181
32,8	4,01	6193
32,9	4,005	6216
33,001	4,01	6235
33,1	4,01	6252
33,2	4,005	6266
33,3	4	6286
33,4	4,005	6303
33,501	4	6319
33,6	4,005	6348
33,7	4,005	6366
33,8	4,015	6384
33,9	4,005	6401
34,001	4,005	6416
34,101	4,005	6440
34,2	4,005	6461
34,3	4,01	6475
34,4	4,005	6498
34,501	4	6512
34,6	4,01	6532
34,7	4	6554
34,8	4,005	6575
34,9	4	6600
35,001	4,005	6628
35,1	4,005	6641
35,2	4,005	6661
35,3	4,005	6680
35,4	4,005	6699
35,501	4,005	6719
35,6	4	6737
35,7	4	6752
35,8	4,01	6772
35,9	4,005	6791
36,001	4,01	6805
36,1	4,01	6822
36,2	4,005	6841
36,3	4,005	6858
36,4	4	6876
36,501	4	6901
36,6	4,005	6924
36,701	4,01	6946
36,8	4,005	6970
36,9	4,01	6984
37,001	4,005	7000
37,1	4	7019
37,2	3,995	7044
37,3	4,005	7064
37,4	4,005	7081
37,501	3,995	7100
37,6	4,005	7124
37,701	4,01	7141
37,8	4,01	7166
37,9	4,005	7179
38,001	4	7196
38,1	4,005	7219
38,201	4,005	7233
38,3	4,005	7252
38,4	4	7270
38,502	4,005	7292
38,6	4,005	7307
38,7	4	7325
38,8	4	7342
38,9	4	7364
39,001	4	7392
39,1	4,005	7414
39,2	3,995	7434
39,3	4,005	7452
39,4	4,01	7472
39,501	4,005	7486
39,6	4,005	7501
39,7	4,005	7527
39,8	3,995	7547
39,9	4,005	7566
40,001	4	7588
40,1	4	7617
40,2	4,005	7636
40,3	4	7645
40,4	4,005	7666
40,501	4,005	7682
40,6	4,01	7701
40,7	4	7726
40,8	4,005	7746
40,9	4,005	7771
41,001	3,995	7793
41,1	4	7811
41,2	4,005	7835
41,3	3,99	7862
41,4	4,005	7881
41,501	3,99	7900
41,6	4,01	7923
41,7	4	7940
41,8	3,995	7958
41,9	4	7971
42,001	3,99	8000
42,1	4	8031
42,202	4	8053
42,3	4,005	8077
42,4	3,99	8099
42,501	4	8116
42,6	4,005	8136
42,7	4	8151
42,8	4	8180
42,9	4	8192
43,001	4	8213
43,1	4	8224
43,2	4	8239
43,3	4,005	8270
43,4	4,005	8291
43,501	3,995	8309
43,6	4	8323
43,7	3,995	8341
43,802	4	8361
43,9	4	8383
44,001	4,005	8402
44,1	3,995	8421
44,2	3,995	8441
44,3	4	8459
44,4	3,99	8482
44,501	4	8496
44,6	4	8512
44,7	3,995	8525
44,8	4	8550
44,9	4,005	8567
45,001	4,005	8592
45,1	4	8611
45,2	4	8632
45,3	4	8660
45,4	3,995	8673
45,501	4	8698
45,6	4	8713
45,7	3,995	8729
45,8	4	8748
45,9	4	8764
46,001	4	8781
46,1	4	8801
46,2	4,005	8819
46,3	4,005	8835
46,4	4	8859
46,501	4	8877
46,6	4,005	8892
46,7	4,005	8911
46,8	4	8932
46,9	4,01	8947
47,001	4,01	8961
47,1	4,015	8980
47,2	3,99	8998
47,3	3,995	9016
47,401	3,995	9035
47,501	4,005	9058
47,6	4	9082
47,7	3,995	9104
47,8	4,02	9129
47,9	4,005	9143
48,001	3,995	9160
48,1	4	9184
48,2	3,995	9205
48,302	3,995	9225
48,4	4	9250
48,501	4	9265
48,6	4,005	9287
48,7	3,995	9307
48,8	4	9327
48,9	4	9346
49,001	4	9374
49,1	3,995	9393
49,2	4	9412
49,3	4,005	9428
49,4	3,995	9452
49,501	4	9479
49,6	4	9501
49,7	4,005	9529
49,8	3,995	9548
49,9	4,005	9565
50,001	3,995	9584
50,1	4	9605
50,2	3,99	9621
50,3	4,005	9634
50,4	4	9652
50,501	4	9668
50,6	4	9688
50,7	4,01	9701
50,8	4,005	9724
50,9	4	9740
51,001	4	9758
51,1	4	9773
51,2	4	9792
51,3	4,005	9807
51,4	4,005	9829
51,5	4,015	9843
51,6	4,005	9864
51,7	4,005	9878
51,8	4,005	9902
51,9	3,995	9917
52,001	4,005	9938
52,1	4	9966
52,2	4,01	9984
52,3	4,005	10002
52,4	4	10026
52,501	3,995	10049
52,6	4	10067
52,7	4,005	10083
52,8	4,005	10097
52,9	4,01	10110
53,001	4,005	10135
53,1	4	10152
53,2	4,005	10170
53,3	4,005	10188
53,4	4,005	10198
53,5	4,005	10209
53,601	3,995	10231
53,7	4,005	10246
53,8	4,005	10270
53,9	4,005	10290
54	4,005	10305
54,1	4,01	10323
54,2	4,005	10347
54,3	4,005	10365
54,4	3,99	10389
54,501	4	10410
54,6	4,01	10432
54,7	4	10455
54,8	4,005	10472
54,9	4,005	10493
55	4,005	10510
55,1	4,005	10526
55,2	4	10540
55,3	4,005	10557
55,4	3,995	10571
55,5	4	10594
55,6	3,995	10613
55,7	4,01	10637
55,8	4	10652
55,9	4	10673
56	4,005	10686
56,1	3,995	10703
56,2	4	10715
56,3	4	10735
56,4	4,01	10750
56,5	4,005	10773
56,6	4	10797
56,7	4,005	10809
56,8	4,005	10827
56,9	4	10847
57	4	10867
57,1	4,01	10887
57,2	4	10910
57,3	3,995	10931
57,4	4	10944
57,5	4,005	10970
57,6	4,005	10989
57,7	4,005	11013
57,8	3,995	11034
57,901	4,005	11058
58	4	11072
58,1	4	11088
58,2	4,005	11108
58,3	4	11118
58,4	4,01	11133
58,5	4	11155
58,6	4	11175
58,7	3,995	11192
58,8	4,01	11214
58,9	4	11234
59	4	11252
59,1	4,005	11272
59,2	4,01	11287
59,3	4,005	11307
59,4	4,005	11328
59,5	4,01	11347
59,6	4	11361
59,7	4,005	11373
59,8	4,005	11390
59,9	4,005	11411
60	4,005	11429
60,1	4,005	11441
60,2	3,995	11456
60,3	4	11474
60,4	4,005	11490
60,5	3,995	11508
60,6	4,005	11534
60,7	4,01	11550
60,8	4,01	11567
60,9	4,02	11582
61	4	11608
